jaqueta	chaqueta
jersei	jersey
jupetí	chaleco
katiuska	katiuska
leotards	leotardos
licra	licra
llana	lana
lli	lino
malles	mallas
mànega	manga
manyopla	manopla
minifalda	minifalda
mitó	mitón
mocador	pañuelo
mocassí	mocasín
musclera	hombrera
pantalons	pantalones
pantis	pantis
pantofla	pantufla
parca	parka
peüc	peúco,
pijama	pijama
pitxi	pichi
polo	polo
ponxo	poncho
provador	probador
rebeca	rebeca
sabata	zapato
sabatilla	zapatilla
sahariana	sahariana
sandàlia	sandalia
sinagües	enaguas
sostenidors	sujetador
suèter	suéter
tanga	tanga
tirants	tirantes
top	top
trau	ojal
túnica	túnica
turbant	turbante
vaquers	vaqueros
vestit	vestido
xal	chal
xancleta	chancleta
xandall	chándal
aigüera	fregadero
aixeta	grifo
algeps	yeso
aljub	aljibe
altaveu	altavoz
andana	buhardilla
ansa	asa
armari de paret	armario empotrado
aspiradora	aspirador
balcó	balcón
balustrada	balaustrada
bany	baño
banyera	bañera
barana	barandilla
barandat	tabique
batedora	batidora
bidet	bidé
bombeta	bombilla
bressol	cuna
bugada	colada
butaca	sillón
cadenat	candado
cadira	silla
calaix	cajón
calaixera	cómoda
calfador	calentador
canelobre	candelabro
canonada	tubería
catifa	alfombra
celler	bodega
celobert	patio de luces
cendrer	cenicero
claraboia	tragaluz
clau	llave
clau	clavo
clau de pas	llave de paso
coberteria	cubertería
coixí	almohada
comandament	mando
corredor	pasillo
cortineta	visillo
cresol	candil
cristalleria	cristalería
cuina	cocina
cullera	cuchara
despatx	despacho
dipòsit	depósito
dormitori	dormitorio
dutxa	ducha
eixugador	secador
electrodomèstic	electrodoméstico
endoll	enchufe
engrunsadora	mecedora
escala	escalera
granera	escoba
escombraries	basura
escriptori	escritorio
esglaó	escalón
mirall	espejo
espremedora	exprimidor
espurna	chispa
estenedor	tendedero
estora	alfombrilla
façana	fachada
fanal	farol
farmaciola	botiquín
filferro	alambre
finestra	ventana
finestral	ventanal
finestró	postigo
flassada	manta
foguer	fogón
forn	horno
forqueta	tenedor
forrellat	cerrojo
fregall	estropajo
fregidora	freidora
gàbia	jaula
galeria	galería
ganivet	cuchillo
garatge	garaje
gerra	jarra
gerro	florero
gespa	césped
golfes	buhardilla
got	vaso
graella	parrilla
gratacel	rascacielos
guix	escayola
habitació	habitación
habitatge	vivienda
liquadora	licuadora
fumeral	chimenea
llauna	lata
lleixiu	lejía
llençol	sábana
llenya	leña
llit	cama
llitera	litera
llum	luz
mànec	mango
maneta	manilla
manovella	manivela
matalàs	colchón
menjador	comedor
microones	microondas
moble	mueble
motlura	moldura
obrellaunes	abrelatas
obridor	abridor
ordinador	ordenador
paella	sartén
pany	cerradura
parallamps	pararrayos
parquet	parqué
passamà	pasamanos
penell	veleta
penja-robes	percha
pica	pila
pinta	peine
pitxer	jarro
placa de cocció	encimera
planxa	plancha
poal	cubo
pols	polvo
pou	pozo
prestatge	estante
prestatgeria	estantería
rajola	ladrillo
raspall	cepillo
rebedor	recibidor
rebost	despensa
reixa	reja
rentadora	lavadora
rentaplats	lavavajillas
replanell	rellano
sabó	jabón
safareig	lavadero
safata	bandeja
setrill	aceitera
setrilleres	vinagreras
sòcol	zócalo
sòl	suelo
sostre	techo
soterrani	sótano
sucrera	azucarero
suro	corcho
tamboret	taburete
tanca	valla
tap	tapón
tassa	taza
taula	mesa
taulellet	azulejo
telèfon	teléfono
